Date,Sales
2019-01-01,4174
2019-01-02,4507
2019-01-03,1860
2019-01-04,2294
2019-01-05,2130
2019-01-06,2095
2019-01-07,4772
2019-01-08,4092
2019-01-09,2638
2019-01-10,3169
2019-01-11,1466
2019-01-12,2238
2019-01-13,1330
2019-01-14,2482
2019-01-15,3135
2019-01-16,4444
2019-01-17,4171
2019-01-18,3919
2019-01-19,4735
2019-01-20,1130
2019-01-21,2685
2019-01-22,4380
2019-01-23,1769
2019-01-24,3391
2019-01-25,2515
2019-01-26,4485
2019-01-27,3853
2019-01-28,3433
2019-01-29,2215
2019-01-30,1955
2019-01-31,3324
2019-02-01,2184
2019-02-02,1459
2019-02-03,4385
2019-02-04,1021
2019-02-05,3300
2019-02-06,1747
2019-02-07,3904
2019-02-08,4632
2019-02-09,1474
2019-02-10,2082
2019-02-11,3558
2019-02-12,4753
2019-02-13,3047
2019-02-14,4547
2019-02-15,3747
2019-02-16,1975
2019-02-17,2806
2019-02-18,1189
2019-02-19,4005
2019-02-20,3734
2019-02-21,4005
2019-02-22,1562
2019-02-23,2899
2019-02-24,4638
2019-02-25,2267
2019-02-26,3879
2019-02-27,2528
2019-02-28,4202
2019-03-01,4556
2019-03-02,4890
2019-03-03,1646
2019-03-04,3068
2019-03-05,3888
2019-03-06,3214
2019-03-07,2297
2019-03-08,3435
2019-03-09,1600
2019-03-10,3363
2019-03-11,3061
2019-03-12,1241
2019-03-13,3041
2019-03-14,3824
2019-03-15,4417
2019-03-16,3612
2019-03-17,3945
2019-03-18,2363
2019-03-19,3139
2019-03-20,2390
2019-03-21,4003
2019-03-22,2478
2019-03-23,4499
2019-03-24,3556
2019-03-25,1775
2019-03-26,1034
2019-03-27,3253
2019-03-28,4152
2019-03-29,2955
2019-03-30,2585
2019-03-31,4943
2019-04-01,4459
2019-04-02,4073
2019-04-03,2021
2019-04-04,4461
2019-04-05,3613
2019-04-06,2129
2019-04-07,4843
2019-04-08,4893
2019-04-09,2500
2019-04-10,1702
2019-04-11,3449
2019-04-12,3777
2019-04-13,2579
2019-04-14,1161
2019-04-15,1201
2019-04-16,2981
2019-04-17,1995
2019-04-18,3317
2019-04-19,4934
2019-04-20,1815
2019-04-21,4342
2019-04-22,1455
2019-04-23,4533
2019-04-24,4798
2019-04-25,2275
2019-04-26,2016
2019-04-27,4773
2019-04-28,3343
2019-04-29,4796
2019-04-30,3767
2019-05-01,4820
2019-05-02,1337
2019-05-03,1878
2019-05-04,2076
2019-05-05,1791
2019-05-06,4993
2019-05-07,3264
2019-05-08,1763
2019-05-09,3235
2019-05-10,1379
2019-05-11,1492
2019-05-12,4112
2019-05-13,2180
2019-05-14,3062
2019-05-15,4884
2019-05-16,1064
2019-05-17,4928
2019-05-18,4910
2019-05-19,3568
2019-05-20,2367
2019-05-21,2152
2019-05-22,3027
2019-05-23,3695
2019-05-24,2495
2019-05-25,4134
2019-05-26,2162
2019-05-27,2522
2019-05-28,3640
2019-05-29,1391
2019-05-30,2698
2019-05-31,1418
2019-06-01,3336
2019-06-02,1378
2019-06-03,2796
2019-06-04,4561
2019-06-05,3278
2019-06-06,4065
2019-06-07,3088
2019-06-08,4099
2019-06-09,3182
2019-06-10,1200
2019-06-11,2863
2019-06-12,1779
2019-06-13,3977
2019-06-14,4104
2019-06-15,4119
2019-06-16,1502
2019-06-17,3454
2019-06-18,4645
2019-06-19,2751
2019-06-20,1804
2019-06-21,3146
2019-06-22,3731
2019-06-23,2895
2019-06-24,3773
2019-06-25,2570
2019-06-26,1960
2019-06-27,4810
2019-06-28,3660
2019-06-29,2485
2019-06-30,3690
2019-07-01,4840
2019-07-02,2028
2019-07-03,4289
2019-07-04,1502
2019-07-05,3814
2019-07-06,1397
2019-07-07,1870
2019-07-08,3842
2019-07-09,1392
2019-07-10,1206
2019-07-11,2038
2019-07-12,2881
2019-07-13,4625
2019-07-14,3939
2019-07-15,2484
2019-07-16,4762
2019-07-17,4646
2019-07-18,1863
2019-07-19,3790
2019-07-20,4312
2019-07-21,1563
2019-07-22,2020
2019-07-23,1095
2019-07-24,2923
2019-07-25,2757
2019-07-26,3532
